# D1's 67 cap reference points, frozen from its caps.step.
# Board revision 4f4c1b5. Check E pins that; check G reads this.
#
# Why frozen rather than rebuilt: D1 needs kicad-cli, so a live
# comparison made D1.1's gate unable to pass without running the
# other pipeline. These numbers came from D1's own independent
# derivation, so freezing them keeps the cross-check and drops
# the runtime dependency -- the same trade d1-placement.csv makes.
#
# centre_x	centre_y	base_z   (D1 frame, mm)
9.599979	-174.700000	12.338000
9.599979	-117.550000	12.338000
9.599979	-98.500000	12.338000
12.139998	-193.750033	12.338000
19.124979	-136.600000	12.338000
23.887479	-155.650000	12.338000
28.649979	-174.700000	12.338000
28.649979	-117.550000	12.338000
28.649979	-98.500000	12.338000
35.952498	-193.750033	12.338000
38.174979	-136.600000	12.338000
42.937479	-155.650000	12.338000
47.699979	-174.700000	12.338000
47.699979	-117.550000	12.338000
47.699979	-98.500000	12.338000
57.224979	-136.600000	12.338000
61.987479	-155.650000	12.338000
66.749979	-174.700000	12.338000
66.749979	-117.550000	12.338000
66.749979	-98.500000	12.338000
76.274979	-136.600000	12.338000
81.037479	-155.650000	12.338000
85.799979	-174.700000	12.338000
85.799979	-117.550000	12.338000
85.799979	-98.500000	12.338000
95.324979	-136.600000	12.338000
100.087479	-155.650000	12.338000
104.849979	-174.700000	12.338000
104.849979	-117.550000	12.338000
104.849979	-98.500000	12.338000
114.374979	-136.600000	12.338000
119.137479	-155.650000	12.338000
123.899979	-174.700000	12.338000
123.899979	-117.550000	12.338000
123.900002	-193.750005	12.338000
133.424979	-136.600000	12.338000
138.187479	-155.650000	12.338000
142.949979	-174.700000	12.338000
142.949979	-117.550000	12.338000
152.474979	-136.600000	12.338000
157.237479	-155.650000	12.338000
161.999979	-174.700000	12.338000
161.999979	-117.550000	12.338000
171.524979	-136.600000	12.338000
176.287479	-155.650000	12.338000
181.049979	-174.700000	12.338000
181.049979	-117.550000	12.338000
190.574979	-136.600000	12.338000
195.337479	-155.650000	12.338000
200.099979	-174.700000	12.338000
200.099979	-117.550000	12.338000
209.624979	-136.600000	12.338000
214.387479	-155.650000	12.338000
219.149979	-193.750000	12.338000
219.149979	-174.700000	12.338000
219.149979	-117.550000	12.338000
228.674979	-136.600000	12.338000
238.199979	-193.750000	12.338000
238.199979	-174.700000	12.338000
238.199979	-117.550000	12.338000
238.199979	-98.500000	12.338000
245.343772	-155.650057	12.338000
252.487495	-136.600033	12.338000
257.249979	-193.750000	12.338000
257.249979	-174.700000	12.338000
257.249979	-117.550000	12.338000
257.249979	-98.500000	12.338000
