Ref,Val,Package,PosX,PosY,Rot,Side
C1,0.1uF,Cap_Cer_508,36.905000,-33.095000,-90.000000,top
C2,0.1uF,Cap_Cer_508,7.695000,-68.655000,0.000000,top
C3,0.1uF,Cap_Cer_508,163.905000,-83.895000,0.000000,top
C4,0.1uF,Cap_Cer_508,186.765000,-83.895000,0.000000,top
C5,0.1uF,Cap_Cer_508,118.185000,-83.895000,0.000000,top
C6,0.1uF,Cap_Cer_508,141.045000,-83.895000,0.000000,top
C7,0.1uF,Cap_Cer_508,95.325000,-83.895000,0.000000,top
C8,0.1uF,Cap_Cer_508,209.625000,-83.895000,0.000000,top
C9,0.1uF,Cap_Cer_508,49.605000,-83.895000,0.000000,top
C10,0.1uF,Cap_Cer_508,72.465000,-83.895000,0.000000,top
C11,0.1uF,Cap_Cer_508,232.485000,-83.895000,0.000000,top
C12,0.1uF,Cap_Cer_508,75.005000,-40.715000,0.000000,top
C13,0.1uF,Cap_Cer_508,252.805000,-83.895000,0.000000,top
C14,0.1uF,Cap_Cer_508,44.525000,-40.715000,0.000000,top
C15,0.1uF,Cap_Cer_508,6.425000,-15.315000,180.000000,top
C16,0.1uF,Cap_Cer_508,242.645000,-40.715000,0.000000,top
C17,0.1uF,Cap_Cer_508,227.405000,-40.715000,0.000000,top
C18,0.1uF,Cap_Cer_508,59.765000,-40.715000,0.000000,top
C19,0.1uF,Cap_Cer_508,257.885000,-40.715000,0.000000,top
C20,0.1uF,Cap_Cer_508,158.825000,-40.715000,0.000000,top
C21,0.1uF,Cap_Cer_508,113.105000,-20.395000,0.000000,top
C22,0.1uF,Cap_Cer_508,174.065000,-40.715000,0.000000,top
C23,0.1uF,Cap_Cer_508,189.305000,-47.065000,0.000000,top
C24,0.1uF,Cap_Cer_508,189.305000,-29.285000,0.000000,top
C25,0.1uF,Cap_Cer_508,7.695000,-40.715000,0.000000,top
C26,0.1uF,Cap_Cer_508,16.585000,-50.875000,-90.000000,top
C27,0.1uF,Cap_Cer_508,189.305000,-31.825000,180.000000,top
C28,0.1uF,Cap_Cer_508,189.305000,-14.045000,180.000000,top
C29,0.1uF,Cap_Cer_508,36.905000,-50.875000,-90.000000,top
C30,0.1uF,Cap_Cer_508,113.105000,-2.615000,0.000000,top
C31,0.1uF,Cap_Cer_508,104.215000,-25.475000,180.000000,top
C32,0.1uF,Cap_Cer_508,95.325000,-25.475000,0.000000,top
C33,47uF,Cap_Elec_Radial_6.3mm,26.745000,-21.665000,0.000000,top
